t,"DePM,L=20","DeEPCA,L=20","ADePM_bstar,L=20","ADePM_btune,L=20","DePM,L=40","DeEPCA,L=40","ADePM_bstar,L=40","ADePM_btune,L=40"
140,0.020662637995218912,0.020523303331986334,0.000434467143951189,0.00040186587366702436,0.020520299763048304,0.02052029824970791,2.856092218182249e-09,2.0427371700631638e-05
141,0.02007122086378252,0.0199322916818717,0.0004344671419333782,0.0004012368945982761,0.019929373753052176,0.019929372239793318,2.8560914754812713e-09,1.8803364887377017e-05
142,0.0194968162808501,0.019358286449049845,0.00043446714011459014,0.00040066158966908626,0.0193554517633284,0.01935545025015352,2.85609091168792e-09,1.7308482793023148e-05
143,0.01893893602608774,0.01880079936451904,0.00043446713847499597,0.00040013512039204635,0.018798045589302755,0.018798044076214025,2.8560906050861967e-09,1.593245871650673e-05
144,0.01839710580017584,0.01825935608612687,0.00043446713699641976,0.00039965312223209584,0.01825668095169475,0.01825667943869377,2.8560903384687477e-09,1.4665842261090655e-05
145,0.017870864835654796,0.017733495809058756,0.0004344671356629876,0.000399211652897206,0.017730897107029398,0.017730895594118157,2.8560902210340386e-09,1.349993443130193e-05
146,0.017359765517996513,0.017222770886566548,0.00043446713446029827,0.00039880714695709416,0.01722024646839292,0.017220244955573196,2.8560900754604813e-09,1.2426727888272501e-05
147,0.016863373016691954,0.016726746460724997,0.00043446713337540513,0.0003984363759350202,0.016724294236215596,0.016724292723488667,2.856089964877287e-09,1.143885195598108e-05
148,0.016381264926137427,0.016245000103002612,0.0004344671323966099,0.0003980964131424781,0.01624261803886824,0.01624261652623521,2.856090082509562e-09,1.0529522001297277e-05
149,0.01591303091611182,0.01577712146443289,0.00043446713151332986,0.00039778460262894776,0.015774807582861528,0.015774806070323444,2.856090110582951e-09,9.692492836508253e-06
150,0.015458272391625899,0.015322711935171908,0.000434467130716247,0.00039749853171171733,0.015320464312430379,0.01532046279998819,2.8560900492837615e-09,8.922015828318347e-06
151,0.015016602161937261,0.014881384313231676,0.00043446712999679107,0.0003972360066243003,0.014879201078294633,0.014879199565949049,2.8560901090317794e-09,8.21279941775788e-06
152,0.014587644118515281,0.014452762482174359,0.0004344671293473243,0.00039699503088701433,0.014450641815380449,0.014450640303132319,2.8560898895225947e-09,7.559972776886024e-06
153,0.014171032921750324,0.01403648109756268,0.00043446712876097444,0.00039677378606054516,0.014034421229298552,0.014034419717148118,2.856089712809405e-09,6.959052357361209e-06
